ชื่อย่อหลักทรัพย์,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,ที่อยู่,เบอร์โทรศัพท์,เบอร์โทรสาร,URL,พาร์,จำนวนหุ้นจดทะเบียน (ล้านหุ้น),มูลค่าหลักทรัพย์ตามราคาตลาด (ลบ.),ราคา (บาท/หุ้น),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท/หุ้น),P/BV (X),P/E (X),อัตราหมุนเวียนปริมาณการซื้อขาย (%),มูลค่าซื้อขาย/วัน (ลบ.),Beta,การเปลี่ยนแปลงของราคา (%),อัตราเงินปันผลตอบแทน (%),อัตราส่วนเงินปันผลต่อกำไร,นโยบายเงินปันผล,ผู้ถือหุ้นรายใหญ่,จำนวนหุ้น,สัดส่วนหุ้น,สินทรัพย์รวม,หนี้สินรวม,ส่วนของผู้ถือหุ้น,มูลค่าหุ้นที่เรียกชำระแล้ว,รายได้รวม,กำไร (ขาดทุน) จากกิจกรรมอื่น,กำไรสุทธิ,กำไรต่อหุ้น (บาท)
BOFFICE,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,591 ถนนสุขุมวิท แขวงคลองตันเหนือ เขตวัฒนา กทม. 10110,0-2261-0170,0-2261-0170,http://www.bofficereit.com,8.9592 บาท,737.87,5976.76,8.10,10.06,0.80,-,2.13,1.25,0.53,-10.00,1.81,,ไม่น้อยกว่าร้อยละเก้าสิบของกำไรสุทธิที่ปรับปรุงแล้วของรอบปีบัญชี (โดยมีเงื่อนไขเพิ่มเติม),-,0.83,0.92,10176.93,2748.29,-,-,225.05,-1.56,-,-
BOL,บริการ,,เลขที่ 1023 อาคาร เอ็มเอส สยาม ชั้น 28 ถนนพระราม 3 แขวงช่องนนทรี เขตยานนาวา กทม. 10120,0-2657-3999,0-2657-3900-1,http://www.BOL.co.th,0.10 บาท,820.51,8615.31,10.50,0.85,12.31,35.60,12.98,13.73,0.87,-32.69,2.43,0.86,ไม่ต่ำกว่าร้อยละ 50 ของกำไรสุทธิประจำปีที่ปรากฎในงบการเงินรวมหลังหักภาษีเงินได้นิติบุคคล อย่างไรก็ตาม บริษัทอาจจะกำหนดให้การจ่ายเงินปันผลมีอัตราที่น้อยกว่าอัตราที่กำหนดขั้นต้นได้ (โดยมีเงื่อนไขเพิ่มเติม),CTOS DIGITAL BERHAD,185844400,22.65,1127.10,427.19,699.91,82.05,167.40,-0.57,61.35,0.07
BPP,ทรัพยากร,พลังงานและสาธารณูปโภค,1550 อาคารธนภูมิ ชั้น 26 ถนนเพชรบุรีตัดใหม่ แขวงมักกะสัน เขตราชเทวี กทม. 10400,0-2007-6000,0-2007-6060,http://www.banpupower.com,10.00 บาท,3047.73,47544.61,15.60,15.87,0.98,9.49,6.02,28.71,0.76,-9.30,4.17,0.40,ไม่ต่ำกว่าร้อยละ 50 ของกำไรสุทธิของงบการเงินรวมหลังหักสำรองต่างๆ ทุกประเภทตามที่กฎหมายและบริษัทฯ กำหนดไว้ในแต่ละปี (โดยมีเงื่อนไขเพิ่มเติม),บริษัท บ้านปู จำกัด (มหาชน),2397199497,78.66,76204.79,24336.11,48377.35,30477.32,4019.95,2438.26,2918.34,0.96
BR,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,18/1 ม.12 ถ.สายหลังวัดบางพลีใหญ่ใน ต.บางพลีใหญ่ อ.บางพลี สมุทรปราการ 10540,0-2337-3280,0-2337-3293,http://www.br-brgroup.com,5.00 บาท,913.45,3416.29,3.74,4.47,0.84,,88.98,25.26,0.99,24.67,,,อัตราร้อยละ 50 ของกำไรสุทธิหลังหักภาษี และหลังหักเงินสำรองตามกฎหมาย รวมถึงเงินสำรองอื่น ๆ (ถ้ามี) (โดยมีเงื่อนไขเพิ่มเติม),บริษัท เจอาร์จีจี จำกัด,230035086,25.18,10574.15,6491.07,4081.42,4567.23,2082.41,1.39,61.64,0.07
BRI,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,อาคารภิรัชทาวเวอร์ชั้น 21 ไบเทคบางนา 4345 ถนนสุขุมวิท แขวงบางนา เขตบางนา กทม. 10260,0-2161-3000,-,https://www.britania.co.th/,0.50 บาท,852.65,9123.35,10.70,4.39,2.44,11.07,75.34,74.55,1.84,-10.08,,-,ไม่น้อยกว่าร้อยละ 40 ของกําไรสุทธิตามงบการเงินเฉพาะกิจการหลังหักภาษีเงินได้นิติบุคคลและหลังหักสํารองต่างๆ ทุกประเภทที่กฎหมายและบริษัทกําหนดไว้ในแต่ละปี (โดยมีเงื่อนไขเพิ่มเติม),บริษัท ออริจิ้น พร็อพเพอร์ตี้ จำกัด (มหาชน),599999940,70.37,9668.59,5929.62,3738.97,426.32,1338.61,114.87,352.49,0.41
BROCK,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,601 ซอยรามคำแหง 39 ถนนประชาอุทิศ แขวงวังทองหลาง เขตวังทองหลาง กทม. 10310,0-2934-7000,0-2934-7186,http://www.rockgarden.co.th,1.00 บาท,1025.00,1957.75,1.91,1.25,1.53,52.91,2.35,0.45,0.64,-4.50,0.52,0.28,ไม่น้อยกว่าร้อยละ 30 ของกำไรสุทธิหลังหักภาษีเงินได้นิติบุคคล (โดยมีเงื่อนไขเพิ่มเติม),นาย วิรัตน์ ชินประพินพร,215371052,21.01,1327.17,48.38,1278.79,1025.00,54.37,-,7.18,0.01
BROOK,ธุรกิจการเงิน,,"อาคารเดอะเทรนดี้ ชั้น 26, 10/190-193 ซอยสุขุมวิท13 ถนนสุขุมวิท แขวงคลองเตยเหนือ เขตวัฒนา กทม. 10110",0-2168-7100,0-2168-7111-2,http://www.brookergroup.com,0.125 บาท,9315.21,6334.34,0.68,0.38,1.97,30.79,186.69,158.10,1.15,-36.07,2.61,0.80,ไม่น้อยกว่าร้อยละ 50 ของกำไรสุทธิหลังจากหักภาษีเงินได้นิติบุคคล และเงินสำรองตามกฎหมาย ตามงบการเงินเฉพาะกิจการของบริษัทฯ (โดยมีเงื่อนไขเพิ่มเติม),นาย วรุฒ บูลกุล,1687213842,20.11,4017.12,625.06,3221.03,1048.55,150.90,-1.15,41.12,-
BRR,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,237 หมู่ที่ 2 ตำบลหินเหล็กไฟ อำเภอคูเมือง บุรีรัมย์ 31190,0-4465-9020-3,"0-4465-9020-3 ต่อ 103,131,152",http://www.buriramsugar.com,1.00 บาท,812.10,4994.41,6.15,2.91,2.12,13.60,6.75,3.00,0.84,11.82,1.14,0.15,ไม่น้อยกว่าร้อยละ 50 ของกำไรสุทธิภายหลังหักภาษีเงินได้นิติบุคคลและการจัดสรรทุนสำรองตามกฎหมาย (โดยมีเงื่อนไขเพิ่มเติม),บริษัท ทุนบุรีรัมย์ จำกัด,411020200,50.61,10578.07,8219.69,2359.47,812.10,2296.19,-0.16,423.52,0.52
BRRGIF,ทรัพยากร,พลังงานและสาธารณูปโภค,175 อาคารสาธรซิตี้ทาวเวอร์ ชั้น 7 ชั้น 21 และชั้น 26 ถนนสาทรใต้ แขวงทุ่งมหาเมฆ เขตสาทร กทม. 10120,0-2674-6488,0-2679-5995,http://www.bblam.co.th/,8.30 บาท,350.00,1837.50,5.25,8.27,0.63,-,2.15,0.39,0.11,-4.55,5.84,,ไม่น้อยกว่าปีละ 2 ครั้ง ในกรณีที่กองทุนมีกำไรสะสมเพียงพอ (โดยมีเงื่อนไขเพิ่มเติม),-0.94,-0.98,-0.03,2898.00,2.29,-,-,37.83,-42.90,-,-
BSBM,สินค้าอุตสาหกรรม,เหล็ก และ ผลิตภัณฑ์โลหะ,"อาคารประภาวิทย์ ชั้น 8, 28/1 ถนนสุรศักดิ์ แขวงสีลม เขตบางรัก กทม. 10500",0-2630-0590-5,0-2236-6995-6,http://www.bsbm.co.th,1.00 บาท,1121.17,1322.99,1.18,1.69,0.70,31.40,13.38,2.07,1.11,-24.36,4.24,1.33,ร้อยละ 40-60 ของกำไรสุทธิประจำปี โดยจะต้องอยู่ภายใต้เงื่อนไขตามที่กฎหมายกำหนดไว้ (โดยมีเงื่อนไขเพิ่มเติม),นาย ปิยะ วิริยประไพกิจ,248250010,22.14,1939.12,41.97,1897.15,1121.17,346.22,-,10.86,0.01
BSM,อสังหาริมทรัพย์และก่อสร้าง,,905/7 ถนนพระราม 3 ซอย 51 แขวงบางโพงพาง เขตยานนาวา กทม. 10120,0-2683-4900,0-2683-4949,http://www.bsmgroup.asia,0.10 บาท,2130.51,809.59,0.38,0.23,1.67,,16.31,1.26,0.78,-2.56,,,ไม่น้อยกว่า 40 ของกำไรสุทธิประจำปีหลังหักเงินสำรองตามกฎหมายและสำรองอื่น ๆ (ถ้ามี),นาง พัทยา พิเชฐพงศา,300823612,14.12,1459.56,974.67,484.90,213.05,288.93,0.09,4.91,-
BTNC,สินค้าอุปโภคบริโภค,แฟชั่น,1112/53-75 ซอยสุขุมวิท 48 ถนนสุขุมวิท แขวงพระโขนง เขตคลองเตย กทม. 10110,"0-2391-3311 , 0-2391-3320","0-2381-1656 , 0-2381-1658",http://www.btnc.co.th,10.00 บาท,12.00,139.20,11.60,35.80,0.32,,12.61,0.19,0.89,8.41,,,จ่ายเงินปันผลในปีที่ผลการดำเนินงานมีกำไรหรือยังคงมีกำไรสะสม (โดยมีเงื่อนไขเพิ่มเติม),นาง ศิรินา ปวโรฬารวิทยา,2566360,21.39,589.21,159.57,429.63,120.00,70.49,-,-9.59,-0.80
BTS,บริการ,ขนส่งและโลจิสติกส์,"อาคารทีเอสที ทาวเวอร์, 21 ซอยเฉยพ่วง ถนนวิภาวดี-รังสิต แขวงจอมพล เขตจตุจักร กทม. 10900","0-2273-8511-15, 0-2273-8611-15","0-2273-8610, 0-2273-8616",http://www.btsgroup.co.th,4.00 บาท,13167.61,111924.69,8.50,4.71,1.80,29.26,35.64,411.07,1.05,-9.09,3.65,1.07,ไม่น้อยกว่าร้อยละ 50 ของกำไรสุทธิหลังหักภาษีเงินได้ตามงบการเงินเฉพาะกิจการ (โดยมีเงื่อนไขเพิ่มเติม),นาย คีรี กาญจนพาสน์,2638471052,20.04,255866.57,169739.04,62062.84,52657.91,31194.50,-131.44,3825.58,0.29
BTSGIF,บริการ,ขนส่งและโลจิสติกส์,175 อาคารสาธรซิตี้ทาวเวอร์ ชั้น 7 ชั้น 21 และ ชั้น 26 ถนนสาทรใต้ แขวงทุ่งมหาเมฆ เขตสาทร กทม. 10120,0-2674-6488,0-2679-5996,http://www.btsgif.com,9.554 บาท,5788.00,24541.12,4.24,6.79,0.62,-,4.78,10.83,0.50,-2.30,,,มากกว่า 1 ครั้งต่อปี ในกรณีที่กองทุนมีกำไรสะสมเพียงพอ โดยเมื่อรวมแล้วในแต่ละงวดปีบัญชี จ่ายในอัตราไม่น้อยกว่าร้อยละ 90 ของกำไรสทุธิที่ปรับปรุงแล้ว,-2.30,-0.96,-1.40,39383.12,35.43,-,-,945.02,-6050.54,-,-
BTW,อสังหาริมทรัพย์และก่อสร้าง,,593/3 ซอยรามคำแหง 39 (เทพลีลา 1) ถนนรามคำแหง แขวงวังทองหลาง เขตวังทองหลาง กทม. 10310,0-2314-2150-52,0-2319-7301-02,http://www.btwealthindustries.com,0.50 บาท,756.00,740.88,0.98,1.35,0.72,,37.16,2.50,0.62,3.16,,,ไม่ต่ำกว่าร้อยละ 40 ของกำไรสุทธิของงบการเงินเฉพาะกิจการ หลังหักสำรองตามกฎหมาย และสำรองอื่นๆ (ถ้ามี) ทั้งนี้ การจ่ายเงินปันผลดังกล่าว จะขึ้นอยู่กับกระแสเงินสด ผลประกอบการ โครงสร้างทางการเงิน (โดยมีเงื่อนไขเพิ่มเติม),นาย โชติก รัศมีทินกรกุล,168900000,22.34,1840.00,816.71,1022.89,378.00,446.16,-,18.76,0.02
BUI,ธุรกิจการเงิน,ประกันภัยและประกันชีวิต,"อาคารบางกอกสหประกันภัย,175-177 ถนนสุรวงศ์ แขวงสุริยวงศ์ เขตบางรัก กทม. 10500","0-2233-6920, 0-2238-4111",0-2237-1856,http://www.bui.co.th,10.00 บาท,30.00,696.00,23.20,27.00,0.86,8.40,21.11,1.84,0.37,-6.45,4.31,0.36,ประมาณร้อยละ 60 ของกำไรสุทธิ แต่ทั้งนี้ขึ้นอยู่กับภาวะเศรษฐกิจ และแผนการขยายงานของบริษัทฯ,บริษัท เลียวไพรัตนวิสาหกิจ จำกัด,4620105,15.40,1936.56,1126.52,810.04,300.00,279.90,-,36.73,1.22
BWG,บริการ,บริการเฉพาะกิจ,488 ซอยลาดพร้าว 130 (มหาดไทย 2) แขวงคลองจั่น เขตบางกะปิ กทม. 10240,0-2012-7888,0-2012-7889,http://www.betterworldgreen.com,0.25 บาท,4551.12,4414.59,0.97,0.80,1.21,,299.26,136.68,1.67,4.30,,,ไม่ต่ำกว่าร้อยละ 50 ของกำไรสุทธิ หลังหักภาษีเงินได้นิติบุคคล และหลังหักสำรองตามกฎหมายและเงินสะสมอื่นๆ ตามที่บริษัทฯ กำหนด (โดยมีเงื่อนไขเพิ่มเติม),นาย สุวัฒน์ เหลืองวิริยะ,183150000,4.02,8181.14,2751.24,3645.05,1137.78,591.39,-,-33.63,-0.01
BYD,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,เลขที่ 46/7 อาคารรุ่งโรจน์ธนกุล ชั้น 11-12 ถนนรัชดาภิเษก แขวงห้วยขวาง เขตห้วยขวาง กทม. 10310,0-2820-0100,-,http://www.beyondsecurities.co.th,5.00 บาท,2879.34,36855.58,12.80,0.51,26.35,,106.07,216.93,1.66,25.91,,,ไม่น้อยกว่าร้อยละ 50 ของกำไรสุทธิ หลังหักภาษีเงินได้และสำรองตามกฎหมาย ทั้งนี้ อัตราการจ่ายเงินปันผลดังกล่าวอาจเปลี่ยนแปลงได้ โดยขึ้นอยู่กับความจำเป็นและความเหมาะสม (โดยมีเงื่อนไขเพิ่มเติม),น.ส. โฟน สุ่นสวัสดิ์,187200000,13.00,1553.28,154.78,1398.50,7198.36,25.50,-23.87,-33.63,-0.02
CAZ,อสังหาริมทรัพย์และก่อสร้าง,,เลขที่ 239 ถนนห้วยโป่ง-หนองบอน ตำบลห้วยโป่ง อำเภอเมืองระยอง ระยอง 21150,0-3860-6242,0-3860-6166,http://www.caz.co.th,0.50 บาท,294.00,1837.50,6.25,2.44,2.57,10.23,739.24,124.90,1.43,82.75,2.56,0.26,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิหลังหักภาษีเงินได้นิติบุคคลและหลังหักเงินสำรองต่างๆ ทุกประเภทตามที่กฎหมายและบริษัทฯ ได้กำหนดไว้จากงบการเงินเฉพาะกิจการ (โดยมีเงื่อนไขเพิ่มเติม),บริษัท ทาคูนิ (ประเทศไทย) จำกัด,107728950,36.64,1981.44,1257.18,716.04,147.00,782.91,-,61.97,0.21
CBG,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,393 อาคาร 393 สีลม ชั้น 7-10 ถนนสีลม แขวงสีลม เขตบางรัก กทม. 10500,0-2636-6111,0-2636-7949,http://www.carabaogroup.com,1.00 บาท,1000.00,107000.00,107.00,10.85,9.86,37.66,60.24,609.26,0.98,-10.46,1.78,0.67,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิหลังหักภาษีเงินได้ของงบการเงินรวม และภายหลังการจัดสรรทุนสำรองตามกฎหมาย ทั้งนี้ แนวปฏิบัติในการจ่ายเงินปันผลในอดีตอาจมิได้เป็นการแสดงถึงแนวทางการจ่ายในอนาคต,บริษัท เสถียรธรรมโฮลดิ้ง จำกัด,250064500,25.01,19250.03,8507.48,10853.64,1000.00,4826.15,-,660.25,0.66
CCET,เทคโนโลยี,ชิ้นส่วนอิเล็กทรอนิกส์,"อาคารซีทีไอ ทาวเวอร์ ชั้น 18, 191/54 และ 191/57 ถนนรัชดาภิเษก เขตคลองเตย กทม. 10110",0-2261-5033-40,0-2661-9396-7,http://www.calcomp.co.th,1.00 บาท,5384.53,13461.34,2.50,3.77,0.72,32.27,10.66,14.70,1.07,-16.41,1.08,0.35,ไม่น้อยกว่าร้อยละ 30 ของกำไรสุทธิของงบการเงินรวมในแต่ละงวดบัญชีหลังจากหักสำรองตามกฎหมาย ซึ่งการจ่ายปันผลดังกล่าวจะขึ้นอยู่กับกระแสเงินสด แผนการลงทุน (โดยมีเงื่อนไขเพิ่มเติม),KINPO ELECTRONICS. INC.,2318673790,46.74,92473.07,73591.62,18681.62,4961.12,38738.35,309.37,268.86,0.05
CCP,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,39/1 หมู่ที่ 1 ถนนสุขุมวิท ตำบลห้วยกะปิ อำเภอเมือง ชลบุรี 20000,0-3879-5278-83,0-3827-2440-3,http://www.ccp.co.th,0.25 บาท,2768.03,1328.65,0.48,0.49,0.98,125.83,23.89,3.66,1.50,-22.58,2.71,3.41,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิหลังหักสำรองตามกฎหมาย,บริษัท ทีปกรโฮลดิ้ง จำกัด,1202026828,43.43,2899.77,1318.15,1349.17,692.01,613.84,-,6.61,-
CEN,สินค้าอุตสาหกรรม,เหล็ก และ ผลิตภัณฑ์โลหะ,"เลขที่ 1011 อาคารศุภาลัย แกรนด์ ทาวเวอร์ ชั้น 17 ห้องเลขที่ 1703, 1704 ถนนพระราม 3 แขวงช่องนนทรี เขตยานนาวา กทม. 10120",0-2049-1041-44,0-2049-1045,http://www.cenplc.com,1.00 บาท,745.14,2116.20,2.84,2.91,0.97,17.43,28.95,7.52,1.02,-17.44,4.24,0.74,ไม่น้อยกว่าร้อยละ 50 ของกำไรสุทธิของงบการเงินเฉพาะกิจการหลังหักภาษี หรือตามความเหมาะสม หากไม่มีเหตุจำเป็นอื่นใดและการจ่ายเงินปันผลนั้น ไม่มีผลกระทบต่อการดำเนินงานปกติของบริษัท (โดยมีเงื่อนไขเพิ่มเติม),นาย ชินชัย ลีนะบรรจง,137779700,18.49,4192.52,864.68,2170.46,745.14,396.44,20.42,-2.04,-
CENTEL,บริการ,การท่องเที่ยวและสันทนาการ,1695 ถนนพหลโยธิน แขวงจตุจักร เขตจตุจักร กทม. 10900,0-2769-1234,0-2769-1235,http://www.centarahotelsresorts.com,1.00 บาท,1350.00,57712.50,42.75,13.36,3.20,,31.51,156.09,1.49,36.80,,,ไม่น้อยกว่าร้อยละ 60 ของกำไรสุทธิหลังภาษีเงินได้ เว้นแต่หากมีการขยายกิจการ ก็อาจพิจารณางดจ่ายปันผลหรือจ่ายเงินปันผลต่ำกว่าร้อยละ 60 ของกำไรสุทธิ,บริษัท เตียง จิราธิวัฒน์ จำกัด,67523190,5.00,48299.98,29893.67,18032.33,1350.00,3881.88,-,-43.69,-0.03
CEYE,บริการ,,311 ถนนเสรี 6 แขวงสวนหลวง เขตสวนหลวง กทม. 10250,0-2718-9951-6,0-2718-9957,https://www.chamniseye.com/,0.50 บาท,270.00,1328.40,4.92,,-,32.23,847.18,461.78,-,27.46,,-,ไม่ต่ำกว่าร้อยละ 40 ของกำไรสุทธิของงบการเงินเฉพาะบริษัท ภายหลังจากหักภาษีและเงินทุนสำรองตามกฎหมายและทุนสำรองอื่น (โดยมีเงื่อนไขเพิ่มเติม),นางสาว สุวรรณี สุวรรณแสงโรจน์,112468560,41.66,457.33,126.71,330.62,100.00,108.36,-,21.80,0.11
CFRESH,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,402 หมู่ 8 ถนนชุมพร-ปากน้ำ ตำบลปากน้ำ อำเภอเมือง ชุมพร 86000,0-2637-8888,0-2637-8801,http://www.seafresh.com,1.00 บาท,927.10,3578.60,3.86,2.34,1.65,11.83,248.08,83.37,1.56,-2.03,,-,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิหลังชำระภาษีแล้ว,นาย ณฤทธิ์ เจียอาภา,215606000,23.26,4599.65,2101.52,2170.15,927.10,1632.27,-,36.91,0.04
CGD,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,เลขที่ 898 อาคารเพลินจิต ทาวเวอร์ ชั้นที่ 20 ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กทม. 10330,0-2658-7888,0-2658-7880,http://www.cgd.co.th,0.61 บาท,927.10,3578.60,3.86,2.34,1.65,11.83,248.08,83.37,1.56,-2.03,,-,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิหลังชำระภาษีแล้ว,นาย ณฤทธิ์ เจียอาภา,215606000,23.26,20456.14,16306.91,4127.42,5042.34,2002.12,-,67.67,0.01
CGH,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,เลขที่ 132 อาคารสินธร ทาวเวอร์ 3 ชั้น 20 ถนนวิทยุ แขวงลุมพินี เขตปทุมวัน กทม. 10330,0-2256-7999,0-2256-7888,http://www.cgholdings.co.th,1.00 บาท,4005.54,4366.04,1.09,1.50,0.73,6.32,244.39,158.05,1.95,-16.79,,-,ไม่ต่ำกว่าร้อยละ 60 ของกำไรสุทธิหลังหักภาษีเงินได้นิติบุคคล อย่างไรก็ดี อาจกำหนดให้การจ่ายเงินปันผลมีอัตราน้อยกว่าอัตราที่กำหนดข้างต้นได้ หากบริษัทมีความจำเป็นที่จะต้องนำเงินกำไรสุทธิจำนวนดังกล่าวไปใช้เพื่อขยายการดำเนินงานของบริษัท,นาย ทอมมี่ เตชะอุบล,960357368,23.98,9560.62,3547.38,5999.12,4005.55,418.48,32.08,37.40,0.01
CHARAN,ธุรกิจการเงิน,ประกันภัยและประกันชีวิต,408/1 ถนนรัชดาภิเษก แขวงสามเสนนอก เขตห้วยขวาง กทม. 10310,0-2276-1024,0-2275-4919,http://www.charaninsurance.com,10.00 บาท,12.00,336.00,28.00,41.39,0.68,,4.58,0.15,0.30,-5.88,,,ไม่ต่ำกว่าร้อยละ 20 ของกำไรสุทธิ,นาย สุกิจ จรัญวาศน์,2187644,18.23,986.64,489.92,496.72,120.00,89.93,-,-17.57,-1.46
CHAYO,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,เลขที่ 44/499-504 ถนนพหลโยธิน แขวงอนุสาวรีย์ เขตบางเขน กทม. 10220,0-2016-4499,0-2001-2555,http://www.chayo555.com,0.50 บาท,1066.36,12902.92,12.10,2.60,4.75,56.83,73.21,89.49,1.80,-4.99,0.03,0.02,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิหลังหักภาษีเงินได้ของงบการเงินเฉพาะกิจการภายหลังการจัดสรรทุนสำรองตามกฎหมาย (โดยมีเงื่อนไขเพิ่มเติม),นาย สุขสันต์ ยศะสินธุ์,348174079,34.15,5308.54,1705.00,2716.32,505.88,239.27,-,72.50,0.07
CHEWA,อสังหาริมทรัพย์และก่อสร้าง,,1168/80 อาคารลุมพินีทาวเวอร์ ชั้น 27 ยูนิตดี ถนนพระรามสี่ แขวงทุ่งมหาเมฆ เขตสาทร กทม. 10120,0-2679-8870-3,0-2679-8874,http://www.chewathai.com,1.00 บาท,1275.03,1109.27,0.87,1.49,0.58,30.80,54.26,7.01,0.99,-15.53,2.98,0.92,ไม่ตํ่ากว่าร้อยละ 40.00 ของกำไรสุทธิหลังหักภาษีเงินได้นิติบุคคลสำหรับงบการเงินเฉพาะกิจการ และหลังหักเงินสำรองต่างๆ ทุกประเภทตามที่กฎหมายและบริษัทได้กำหนดไว้ (โดยมีเงื่อนไขเพิ่มเติม),บริษัท ชาติชีวะ จำกัด,862419161,67.64,6570.21,4665.76,1904.45,1275.03,306.71,-2.38,-4.01,-
CHG,บริการ,การแพทย์,88/8-9 หมู่ที่ 11 ตำบลบางปลา อำเภอบางพลี สมุทรปราการ 10540,0-2033-2900,0-2730-1125,http://www.chularat.com,0.10 บาท,11000.00,41140.00,3.74,0.81,4.61,7.75,64.16,244.61,-0.26,2.19,5.35,0.41,ไม่ต่ำกว่าร้อยละ 50 ของกำไรสุทธิตามงบการเงินรวมของบริษัทฯ หลังหักเงินสำรองตามกฎหมายและเงินสำรองอื่นๆแล้ว,น.ส. กรรณิกา พลัสสินทร์,1994750400,18.13,12346.65,3117.82,8925.34,1100.00,3638.80,-,1356.40,0.12
CHO,สินค้าอุตสาหกรรม,,เลขที่ 265 หมู่ 4 ถนนกลางเมือง ตำบลเมืองเก่า อำเภอเมืองขอนแก่น ขอนแก่น 40000,0-4304-3888,0-4304-3899,http://www.cho.co.th,0.25 บาท,2227.14,1536.72,0.69,0.50,1.39,,242.85,46.76,1.31,-32.35,,,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิ ก่อนหักค่าใช้จ่ายเนื่องจากการปฏิบัติตามมาตรฐานรายงานทางการเงินฉบับที่ 2 (ปรับปรุง 2557) เรื่อง การจ่ายโดยใช้หุ้นเป็นเกณฑ์ (โดยมีเงื่อนไขเพิ่มเติม),นาย สุรเดช ทวีแสงสกุลไทย,474730132,21.47,3280.73,2176.36,1104.36,549.11,214.10,-1.43,-157.35,-0.08
CHOTI,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,4/2 หมู่ 3 ถนนสายเอเชีย 43 ตำบลนาหม่อม กิ่งอำเภอนาหม่อม สงขลา 90310,0-7422-2333,0-7422-2300-1,http://www.kst-hatyai.com,10.00 บาท,7.50,945.00,126.00,114.90,1.10,10.09,0.88,0.08,-0.15,0.80,2.52,0.25,ร้อยละ 60 จากกำไรสุทธิของงบการเงินรวม (โดยมีเงื่อนไขเพิ่มเติม),บริษัท โชติวัฒน์โฮลดิ้งส์ จำกัด,1950000,26.00,1507.23,645.51,861.73,75.00,489.99,0.35,-0.29,-0.04
CHOW,สินค้าอุตสาหกรรม,,เลขที่ 2525 อาคารเอฟวายไอ เซ็นเตอร์ 2 ชั้น 10 ยูนิต 2/1007-1008 ถนนพระราม 4 แขวงคลองเตย เขตคลองเตย กทม. 10110,0-2033-0901-08,0-2033-0909,http://www.chowsteel.com,1.00 บาท,800.00,3792.00,4.74,2.25,2.11,3.76,19.46,7.68,0.33,31.67,,-,ไม่ต่ำกว่าร้อยละ 40 ของกำไรสุทธิหลังหักภาษีเงินได้นิติบุคคลของงบการเงินเฉพาะ และหลังหักสำรองตามกฎหมาย และเงินสะสมอื่นๆตามที่บริษัทกำหนด (โดยมีเงื่อนไขเพิ่มเติม),นาย อนาวิล จิรธรรมศิริ,408000000,51.00,5069.36,3009.27,1801.13,800.00,213.40,1475.79,1050.21,1.31
CI,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,อาคารชาญอิสสระทาวเวอร์ 2 ชั้น 10 เลขที่ 2922/200 ถนนเพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง กทม. 10320,0-2308-2020,0-2308-2990,http://www.charnissara.com,1.00 บาท,1066.60,1002.60,0.94,1.29,0.73,,193.92,25.29,2.13,-26.56,,,ไม่เกินร้อยละ 40 ของกำไรสุทธิหลังหักภาษีเงินได้นิติบุคคลในแต่ละปีของงบการเงินเฉพาะกิจการ (โดยมีเงื่อนไขเพิ่มเติม),นาย สงกรานต์ อิสสระ,313634494,29.41,10721.19,8445.18,1371.84,1066.60,425.67,-,-92.55,-0.09
